Basic ELO	k0	lambda	accuracy	precision	recall	f1	roc_auc
800	8	1.6	0.5955	0.6035	0.7015	0.6477	0.6271
800	8	1.8	0.595	0.6035	0.7026	0.6478	0.6262
800	10	0.2	0.6314	0.6436	0.6962	0.6665	0.6816
800	10	0.4	0.6321	0.6452	0.6943	0.6664	0.685
800	10	0.6	0.6304	0.6433	0.6925	0.6648	0.6837
800	10	0.8	0.6237	0.636	0.6906	0.6603	0.676
800	10	1.0	0.6128	0.6246	0.686	0.6526	0.6626
800	10	1.2	0.6049	0.6152	0.69	0.6493	0.6456
800	10	1.4	0.5938	0.6041	0.6903	0.6433	0.6332
800	10	1.6	0.5922	0.6002	0.6994	0.6449	0.6257
800	10	1.8	0.5919	0.6011	0.6959	0.6437	0.6271
800	12	0.2	0.6314	0.6441	0.6951	0.6662	0.6827
800	12	0.4	0.6327	0.6465	0.6933	0.6665	0.6849
800	12	0.6	0.6267	0.6391	0.6917	0.6623	0.6815
800	12	0.8	0.6201	0.6322	0.689	0.6577	0.6721
800	12	1.0	0.6111	0.623	0.686	0.6517	0.6571
800	12	1.2	0.6023	0.6121	0.6916	0.6483	0.6406
800	12	1.4	0.5938	0.6035	0.6919	0.6438	0.6308
800	12	1.6	0.5914	0.6	0.6983	0.6446	0.6252
800	12	1.8	0.5922	0.6009	0.6996	0.6452	0.6256
800	14	0.2	0.6311	0.6438	0.6946	0.6659	0.6834
800	14	0.4	0.6329	0.6459	0.6951	0.6673	0.6843
800	14	0.6	0.6252	0.6375	0.6922	0.6617	0.6793
800	14	0.8	0.6184	0.6304	0.6887	0.6566	0.6683
800	14	1.0	0.6077	0.6191	0.6863	0.6498	0.6523
800	14	1.2	0.6004	0.6099	0.6919	0.6474	0.6369
800	14	1.4	0.5938	0.6028	0.694	0.6445	0.6293
800	14	1.6	0.5934	0.6017	0.7015	0.6466	0.6252
800	14	1.8	0.5938	0.6009	0.7071	0.6485	0.6258
800	16	0.2	0.63	0.6431	0.6927	0.6647	0.6834
800	16	0.4	0.6321	0.6442	0.6957	0.6669	0.6831
800	16	0.6	0.6254	0.6382	0.6916	0.6618	0.6769
800	16	0.8	0.6154	0.6272	0.6876	0.6546	0.6647
800	16	1.0	0.6063	0.6173	0.6868	0.649	0.6482
800	16	1.2	0.5978	0.6076	0.6908	0.6454	0.6341
800	16	1.4	0.5954	0.604	0.6978	0.6465	0.6277
