hidden_layer_sizes	activation	solver	alpha	learning_rate	learning_rate_init	early_stopping	accuracy
321x2	tanh	lbfgs	1e-05	adaptive	0.0001	True	0.97711
321x2	tanh	sgd	1e-05	invscaling	0.1	True	0.95185
321x2	tanh	adam	1e-05	invscaling	0.1	True	0.92648
321x2	tanh	lbfgs	1e-05	invscaling	0.1	True	0.97711
321x2	tanh	sgd	1e-05	invscaling	0.01	True	0.90143
321x2	tanh	adam	1e-05	invscaling	0.01	True	0.95872
321x2	tanh	lbfgs	1e-05	invscaling	0.01	True	0.97711
321x2	tanh	sgd	1e-05	invscaling	0.001	True	0.63081
321x2	tanh	adam	1e-05	invscaling	0.001	True	0.95872
321x2	tanh	lbfgs	1e-05	invscaling	0.001	True	0.97933
321x2	tanh	sgd	1e-05	invscaling	0.0001	True	0.52933
321x2	tanh	adam	1e-05	invscaling	0.0001	True	0.94027
321x2	tanh	lbfgs	1e-05	invscaling	0.0001	True	0.97711
321x3	tanh	sgd	1e-05	adaptive	0.1	True	0.95867
321x3	tanh	adam	1e-05	adaptive	0.1	True	0.91966
321x3	tanh	lbfgs	1e-05	adaptive	0.1	True	0.98166
321x3	tanh	sgd	1e-05	adaptive	0.01	True	0.96332
321x3	tanh	adam	1e-05	adaptive	0.01	True	0.94709
321x3	tanh	lbfgs	1e-05	adaptive	0.01	True	0.97711
321x3	tanh	sgd	1e-05	adaptive	0.001	True	0.90825
321x3	tanh	adam	1e-05	adaptive	0.001	True	0.95867
321x3	tanh	lbfgs	1e-05	adaptive	0.001	True	0.97939
321x3	tanh	sgd	1e-05	adaptive	0.0001	True	0.8463
321x3	tanh	adam	1e-05	adaptive	0.0001	True	0.95862
321x3	tanh	lbfgs	1e-05	adaptive	0.0001	True	0.97484
321x3	tanh	sgd	1e-05	invscaling	0.1	True	0.92891
321x3	tanh	adam	1e-05	invscaling	0.1	True	0.91744
321x3	tanh	lbfgs	1e-05	invscaling	0.1	True	0.97484
321x3	tanh	sgd	1e-05	invscaling	0.01	True	0.9195
321x3	tanh	adam	1e-05	invscaling	0.01	True	0.95423
321x3	tanh	lbfgs	1e-05	invscaling	0.01	True	0.97711
321x3	tanh	sgd	1e-05	invscaling	0.001	True	0.76369
321x3	tanh	adam	1e-05	invscaling	0.001	True	0.95634
321x3	tanh	lbfgs	1e-05	invscaling	0.001	True	0.97711
321x3	tanh	sgd	1e-05	invscaling	0.0001	True	0.55106
321x3	tanh	adam	1e-05	invscaling	0.0001	True	0.94514
321x3	tanh	lbfgs	1e-05	invscaling	0.0001	True	0.97257
512x1	tanh	sgd	1e-05	adaptive	0.1	True	0.96781
512x1	tanh	adam	1e-05	adaptive	0.1	True	0.96781
512x1	tanh	lbfgs	1e-05	adaptive	0.1	True	0.97257
512x1	tanh	sgd	1e-05	adaptive	0.01	True	0.95412
