n_estimators	max_features	max_depth	min_samples_split	min_samples_leaf	bagging	accuracy
4	8	10	3	2	True	0.95174
5	8	10	3	2	True	0.93097
6	8	10	3	2	True	0.93362
7	8	10	3	2	True	0.9518
8	8	10	3	2	True	0.94482
9	8	10	3	2	True	0.95428
10	8	10	3	2	True	0.9565
20	8	10	3	2	True	0.96105
30	8	10	3	2	True	0.96786
40	8	10	3	2	True	0.96781
50	8	10	3	2	True	0.96094
100	8	10	3	2	True	0.96559
1	8	10	4	2	True	0.86945
2	8	10	4	2	True	0.90587
3	8	10	4	2	True	0.92188
4	8	10	4	2	True	0.9334
5	8	10	4	2	True	0.93124
6	8	10	4	2	True	0.9518
7	8	10	4	2	True	0.95883
8	8	10	4	2	True	0.9564
9	8	10	4	2	True	0.9472
10	8	10	4	2	True	0.94952
20	8	10	4	2	True	0.96084
30	8	10	4	2	True	0.96321
40	8	10	4	2	True	0.9611
50	8	10	4	2	True	0.96559
100	8	10	4	2	True	0.97014
1	8	10	2	3	True	0.87838
2	8	10	2	3	True	0.88985
3	8	10	2	3	True	0.90153
4	8	10	2	3	True	0.93335
5	8	10	2	3	True	0.94487
6	8	10	2	3	True	0.94038
7	8	10	2	3	True	0.95169
8	8	10	2	3	True	0.95169
9	8	10	2	3	True	0.94493
10	8	10	2	3	True	0.95402
20	8	10	2	3	True	0.96332
30	8	10	2	3	True	0.96321
40	8	10	2	3	True	0.96559
50	8	10	2	3	True	0.96559
100	8	10	2	3	True	0.96554
1	8	10	3	3	True	0.86749
2	8	10	3	3	True	0.89683
3	8	10	3	3	True	0.91956
4	8	10	3	3	True	0.91279
5	8	10	3	3	True	0.9379
6	8	10	3	3	True	0.94746
7	8	10	3	3	True	0.94688
8	8	10	3	3	True	0.94715
9	8	10	3	3	True	0.96316
10	8	10	3	3	True	0.95196
20	8	10	3	3	True	0.96094
30	8	10	3	3	True	0.96792
40	8	10	3	3	True	0.97008
50	8	10	3	3	True	0.96559
100	8	10	3	3	True	0.97024
1	8	10	4	3	True	0.87822
2	8	10	4	3	True	0.88092
3	8	10	4	3	True	0.92199
4	8	10	4	3	True	0.9083
5	8	10	4	3	True	0.94725
6	8	10	4	3	True	0.94482
7	8	10	4	3	True	0.94487
8	8	10	4	3	True	0.96337
9	8	10	4	3	True	0.9426
10	8	10	4	3	True	0.9564
20	8	10	4	3	True	0.94947
30	8	10	4	3	True	0.96564
40	8	10	4	3	True	0.95634
50	8	10	4	3	True	0.96797
100	8	10	4	3	True	0.96099
1	8	10	2	4	True	0.86004
2	8	10	2	4	True	0.90603
3	8	10	2	4	True	0.92653
4	8	10	2	4	True	0.91749
5	8	10	2	4	True	0.94265
6	8	10	2	4	True	0.94249
7	8	10	2	4	True	0.94482
8	8	10	2	4	True	0.94736
9	8	10	2	4	True	0.96337
10	8	10	2	4	True	0.938
20	8	10	2	4	True	0.94963
30	8	10	2	4	True	0.96089
40	8	10	2	4	True	0.96105
50	8	10	2	4	True	0.96559
100	8	10	2	4	True	0.96094
1	8	10	3	4	True	0.86665
2	8	10	3	4	True	0.87833
3	8	10	3	4	True	0.91765
4	8	10	3	4	True	0.93594
5	8	10	3	4	True	0.93113
6	8	10	3	4	True	0.93584
7	8	10	3	4	True	0.94027
8	8	10	3	4	True	0.95634
9	8	10	3	4	True	0.95396
10	8	10	3	4	True	0.95624
20	8	10	3	4	True	0.94027
30	8	10	3	4	True	0.96559
40	8	10	3	4	True	0.96321
50	8	10	3	4	True	0.96332
100	8	10	3	4	True	0.96099
1	8	10	4	4	True	0.85301
2	8	10	4	4	True	0.93578
3	8	10	4	4	True	0.91041
4	8	10	4	4	True	0.93568
5	8	10	4	4	True	0.92907
6	8	10	4	4	True	0.94958
7	8	10	4	4	True	0.94038
8	8	10	4	4	True	0.94498
9	8	10	4	4	True	0.94947
10	8	10	4	4	True	0.95645
20	8	10	4	4	True	0.95629
30	8	10	4	4	True	0.96332
40	8	10	4	4	True	0.95402
50	8	10	4	4	True	0.96094
100	8	10	4	4	True	0.95862
1	10	10	2	1	True	0.87178
2	10	10	2	1	True	0.86919
3	10	10	2	1	True	0.93108
4	10	10	2	1	True	0.92426
5	10	10	2	1	True	0.93335
6	10	10	2	1	True	0.93795
7	10	10	2	1	True	0.95164
8	10	10	2	1	True	0.97019
9	10	10	2	1	True	0.95634
10	10	10	2	1	True	0.94942
20	10	10	2	1	True	0.9565
30	10	10	2	1	True	0.95872
40	10	10	2	1	True	0.96786
50	10	10	2	1	True	0.97019
100	10	10	2	1	True	0.96792
1	10	10	3	1	True	0.88996
2	10	10	3	1	True	0.91279
3	10	10	3	1	True	0.91966
4	10	10	3	1	True	0.93568
5	10	10	3	1	True	0.93827
6	10	10	3	1	True	0.92659
7	10	10	3	1	True	0.94715
8	10	10	3	1	True	0.93811
