GAME_ID	MATCHUP	OUTCOME	TEAM_ID_home	TEAM_ABBREVIATION_home	FG_PCT_home	FG3_PCT_home	FT_PCT_home	REB_home	OREB_home	DREB_home	AST_home	STL_home	BLK_home	OFF_RATING_home	DEF_RATING_home	TS_PCT_home	TOV_home	ELO_home	TEAM_ID_away	TEAM_ABBREVIATION_away	FG_PCT_away	FG3_PCT_away	FT_PCT_away	REB_away	OREB_away	DREB_away	AST_away	STL_away	BLK_away	OFF_RATING_away	DEF_RATING_away	TS_PCT_away	TOV_away	ELO_away
22200123	WAS vs. BKN	0	1610612764	WAS	0.361	0.235	0.818	39	7	32	18	4	3	87.8	132.0	0.464	13	1370.0	1610612751	BKN	0.556	0.5	1.0	48	7	41	32	8	7	132.0	87.8	0.666	7	1402.0
22201230	POR vs. GSW	0	1610612757	POR	0.4	0.257	0.667	30	6	24	25	5	3	90.2	141.4	0.478	14	1241.0	1610612744	GSW	0.604	0.551	0.875	58	9	49	47	13	6	141.4	90.2	0.762	15	1525.0
22200909	UTA vs. SAS	1	1610612762	UTA	0.467	0.357	0.786	56	15	41	29	5	11	115.7	99.0	0.566	14	1416.0	1610612759	SAS	0.392	0.265	0.81	41	9	32	21	5	6	99.0	115.7	0.48	9	1171.0
22200444	PHX vs. NOP	1	1610612756	PHX	0.47	0.366	0.714	35	10	25	23	6	3	124.2	121.3	0.6	8	1554.0	1610612740	NOP	0.584	0.467	0.769	36	4	32	27	2	5	121.3	124.2	0.689	16	1540.0
22200695	CLE vs. MIL	1	1610612739	CLE	0.558	0.318	0.647	41	9	32	33	9	3	121.3	108.5	0.61	9	1506.0	1610612749	MIL	0.453	0.359	0.909	36	7	29	24	3	6	108.5	121.3	0.561	14	1485.0
22200254	OKC vs. NYK	0	1610612760	OKC	0.489	0.333	0.781	38	11	27	25	5	5	115.5	124.0	0.583	14	1329.0	1610612752	NYK	0.526	0.324	0.8	48	14	34	21	10	2	124.0	115.5	0.61	13	1426.0
22200431	CLE vs. IND	1	1610612739	CLE	0.5	0.452	0.875	34	6	28	23	6	2	128.3	120.4	0.655	8	1513.0	1610612754	IND	0.525	0.306	0.895	33	5	28	34	6	4	120.4	128.3	0.634	10	1368.0
22200794	DET vs. PHX	0	1610612765	DET	0.432	0.381	0.636	30	9	21	23	8	2	105.3	120.8	0.551	16	1253.0	1610612756	PHX	0.56	0.478	0.677	46	10	36	34	10	2	120.8	105.3	0.654	16	1470.0
22201095	NOP vs. CHA	1	1610612740	NOP	0.459	0.324	0.933	52	11	41	26	11	0	111.7	95.0	0.55	11	1393.0	1610612766	CHA	0.458	0.243	0.688	38	4	34	24	8	4	95.0	111.7	0.533	17	1302.0
22201158	GSW vs. SAS	1	1610612744	GSW	0.505	0.429	0.714	45	14	31	37	5	4	131.3	115.0	0.636	14	1493.0	1610612759	SAS	0.462	0.395	0.696	46	14	32	27	8	4	115.0	131.3	0.569	13	1174.0
22201039	MIN vs. BOS	0	1610612750	MIN	0.44	0.333	0.727	46	8	38	27	3	2	107.4	110.6	0.544	13	1476.0	1610612738	BOS	0.405	0.3	0.8	44	8	36	20	7	5	110.6	107.4	0.535	9	1584.0
22201178	ORL vs. CLE	0	1610612753	ORL	0.506	0.435	0.765	47	13	34	25	6	1	118.9	120.6	0.586	13	1410.0	1610612739	CLE	0.5	0.484	0.9	30	5	25	23	3	7	120.6	118.9	0.63	8	1557.0
22200209	POR vs. SAS	1	1610612757	POR	0.519	0.469	0.769	39	9	30	22	6	3	120.6	112.2	0.647	15	1342.0	1610612759	SAS	0.518	0.31	0.765	38	11	27	34	7	5	112.2	120.6	0.595	19	1383.0
22200879	MEM vs. UTA	1	1610612763	MEM	0.402	0.35	0.68	46	17	29	24	13	9	114.7	107.8	0.496	4	1533.0	1610612762	UTA	0.462	0.333	0.789	61	15	46	24	2	8	107.8	114.7	0.559	23	1417.0
22200843	POR vs. OKC	0	1610612757	POR	0.553	0.4	0.935	32	9	23	29	3	5	133.0	142.3	0.72	18	1389.0	1610612760	OKC	0.566	0.5	0.914	29	10	19	29	9	3	142.3	133.0	0.701	10	1439.0
22200251	MIL vs. POR	1	1610612749	MIL	0.547	0.321	0.64	42	10	32	31	12	8	114.4	108.8	0.613	14	1515.0	1610612757	POR	0.473	0.276	0.789	40	12	28	19	5	3	108.8	114.4	0.548	15	1339.0
22200414	CHA vs. DET	0	1610612766	CHA	0.412	0.333	0.793	52	17	35	21	7	6	119.6	125.9	0.529	5	1328.0	1610612765	DET	0.516	0.45	0.75	52	12	40	25	0	8	125.9	119.6	0.648	15	1272.0
22200876	ATL vs. NYK	0	1610612737	ATL	0.412	0.192	0.762	40	8	32	25	6	7	100.0	119.6	0.475	4	1461.0	1610612752	NYK	0.469	0.326	0.818	55	10	45	16	2	4	119.6	100.0	0.577	9	1489.0
22200770	PHI vs. ORL	1	1610612755	PHI	0.436	0.4	0.885	43	7	36	27	7	4	104.0	93.1	0.587	18	1548.0	1610612753	ORL	0.379	0.158	0.759	46	12	34	12	10	4	93.1	104.0	0.471	14	1349.0
22200912	CHI vs. WAS	1	1610612741	CHI	0.506	0.267	0.824	39	8	31	21	7	3	117.2	92.1	0.59	8	1429.0	1610612764	WAS	0.421	0.214	0.522	42	12	30	22	5	1	92.1	117.2	0.476	16	1449.0
22200577	DAL vs. BOS	0	1610612742	DAL	0.378	0.219	0.8	42	11	31	15	4	3	96.9	126.5	0.47	11	1522.0	1610612738	BOS	0.488	0.372	0.839	52	10	42	29	6	8	126.5	96.9	0.635	11	1571.0
