Game_ID	GAME_DATE	Team_ID_x	WL_x	PTS_x	MATCHUP	Team_ID_y	WL_y	PTS_y	ELO_x	ELO_y
21900155	2019-11-13	1610612753	W	112	ORL vs. PHI	1610612755	L	97	1516.0	1575.0
21900156	2019-11-13	1610612738	W	140	BOS vs. WAS	1610612764	L	133	1622.0	1405.0
21900157	2019-11-13	1610612745	W	102	HOU vs. LAC	1610612746	L	93	1638.0	1568.0
21900158	2019-11-13	1610612750	W	129	MIN vs. SAS	1610612759	L	114	1491.0	1526.0
21900159	2019-11-13	1610612744	L	94	GSW @ LAL	1610612747	W	120	1484.0	1538.0
21900160	2019-11-13	1610612757	L	106	POR vs. TOR	1610612761	W	114	1572.0	1623.0
21900161	2019-11-14	1610612739	L	97	CLE vs. MIA	1610612748	W	108	1377.0	1550.0
21900162	2019-11-14	1610612742	L	103	DAL @ NYK	1610612752	W	106	1487.0	1279.0
21900163	2019-11-14	1610612741	L	115	CHI @ MIL	1610612749	W	124	1374.0	1669.0
21900164	2019-11-14	1610612740	W	132	NOP vs. LAC	1610612746	L	127	1395.0	1563.0
21900165	2019-11-14	1610612737	L	112	ATL @ PHX	1610612756	W	128	1413.0	1423.0
21900166	2019-11-14	1610612743	W	101	DEN vs. BKN	1610612751	L	93	1570.0	1487.0
21900167	2019-11-15	1610612765	L	106	DET @ CHA	1610612766	W	109	1448.0	1440.0
21900168	2019-11-15	1610612753	W	111	ORL vs. SAS	1610612759	L	109	1528.0	1516.0
21900169	2019-11-15	1610612745	W	111	HOU vs. IND	1610612754	L	102	1643.0	1545.0
21900170	2019-11-15	1610612762	L	106	UTA @ MEM	1610612763	W	107	1615.0	1415.0
21900171	2019-11-15	1610612750	L	116	MIN vs. WAS	1610612764	W	137	1501.0	1403.0
21900172	2019-11-15	1610612755	L	119	PHI @ OKC	1610612760	W	127	1563.0	1524.0
21900173	2019-11-15	1610612738	W	105	BOS @ GSW	1610612744	L	100	1624.0	1474.0
21900174	2019-11-15	1610612747	W	99	LAL vs. SAC	1610612758	L	97	1548.0	1458.0
21900175	2019-11-16	1610612741	L	111	CHI vs. BKN	1610612751	W	117	1373.0	1483.0
21900176	2019-11-16	1610612749	W	102	MIL @ IND	1610612754	L	83	1670.0	1541.0
21900177	2019-11-16	1610612752	L	102	NYK vs. CHA	1610612766	W	103	1287.0	1444.0
21900178	2019-11-16	1610612740	L	94	NOP @ MIA	1610612748	W	109	1404.0	1558.0
21900179	2019-11-16	1610612745	W	125	HOU @ MIN	1610612750	L	105	1647.0	1470.0
21900180	2019-11-16	1610612742	W	110	DAL vs. TOR	1610612761	L	102	1479.0	1634.0
21900181	2019-11-16	1610612757	W	121	POR @ SAS	1610612759	L	116	1561.0	1513.0
21900182	2019-11-16	1610612737	L	101	ATL @ LAC	1610612746	W	150	1404.0	1554.0
21900183	2019-11-17	1610612739	L	95	CLE vs. PHI	1610612755	W	114	1369.0	1556.0
21900184	2019-11-17	1610612738	L	99	BOS @ SAC	1610612758	W	100	1630.0	1456.0
21900185	2019-11-17	1610612753	W	125	ORL vs. WAS	1610612764	L	121	1531.0	1434.0
21900186	2019-11-17	1610612743	W	131	DEN @ MEM	1610612763	L	114	1574.0	1421.0
21900187	2019-11-17	1610612740	W	108	NOP vs. GSW	1610612744	L	100	1400.0	1468.0
21900188	2019-11-17	1610612737	L	101	ATL @ LAL	1610612747	W	122	1394.0	1550.0
21900189	2019-11-18	1610612739	L	105	CLE @ NYK	1610612752	W	123	1358.0	1284.0
21900190	2019-11-18	1610612751	L	86	BKN vs. IND	1610612754	W	115	1490.0	1527.0
21900191	2019-11-18	1610612761	W	132	TOR vs. CHA	1610612766	L	96	1623.0	1447.0
21900192	2019-11-18	1610612741	L	101	CHI vs. MIL	1610612749	W	115	1366.0	1684.0
