Game_ID	GAME_DATE	Team_ID_x	WL_x	PTS_x	MATCHUP	Team_ID_y	WL_y	PTS_y	ELO_x	ELO_y
21900138	2019-11-10	1610612737	L	113	ATL @ POR	1610612757	W	124	1243.0	1441.0
21900139	2019-11-10	1610612747	L	104	LAL vs. TOR	1610612761	W	113	1395.0	1492.0
21900140	2019-11-11	1610612750	W	120	MIN @ DET	1610612765	L	114	1321.0	1306.0
21900141	2019-11-11	1610612738	W	116	BOS vs. DAL	1610612742	L	106	1480.0	1327.0
21900142	2019-11-11	1610612740	L	116	NOP vs. HOU	1610612745	W	122	1238.0	1498.0
21900143	2019-11-11	1610612759	L	109	SAS vs. MEM	1610612763	W	113	1398.0	1229.0
21900144	2019-11-11	1610612744	L	108	GSW vs. UTA	1610612762	W	122	1363.0	1466.0
21900145	2019-11-11	1610612746	W	98	LAC vs. TOR	1610612761	L	88	1425.0	1504.0
21900146	2019-11-12	1610612754	W	111	IND vs. OKC	1610612760	L	85	1386.0	1401.0
21900147	2019-11-12	1610612739	L	97	CLE @ PHI	1610612755	W	98	1204.0	1430.0
21900148	2019-11-12	1610612748	W	117	MIA vs. DET	1610612765	L	108	1397.0	1294.0
21900149	2019-11-12	1610612741	W	120	CHI vs. NYK	1610612752	L	102	1188.0	1107.0
21900150	2019-11-12	1610612737	W	125	ATL @ DEN	1610612743	L	121	1239.0	1452.0
21900151	2019-11-12	1610612747	W	123	LAL @ PHX	1610612756	L	115	1383.0	1267.0
21900152	2019-11-12	1610612751	L	114	BKN @ UTA	1610612762	W	119	1343.0	1481.0
21900153	2019-11-12	1610612757	L	99	POR @ SAC	1610612758	W	107	1445.0	1287.0
21900154	2019-11-13	1610612763	W	119	MEM @ CHA	1610612766	L	117	1242.0	1289.0
21900155	2019-11-13	1610612753	W	112	ORL vs. PHI	1610612755	L	97	1366.0	1431.0
21900156	2019-11-13	1610612738	W	140	BOS vs. WAS	1610612764	L	133	1485.0	1241.0
21900157	2019-11-13	1610612745	W	102	HOU vs. LAC	1610612746	L	93	1503.0	1437.0
21900158	2019-11-13	1610612750	W	129	MIN vs. SAS	1610612759	L	114	1333.0	1385.0
21900159	2019-11-13	1610612744	L	94	GSW @ LAL	1610612747	W	120	1348.0	1393.0
21900160	2019-11-13	1610612757	L	106	POR vs. TOR	1610612761	W	114	1432.0	1492.0
21900161	2019-11-14	1610612739	L	97	CLE vs. MIA	1610612748	W	108	1203.0	1403.0
21900162	2019-11-14	1610612742	L	103	DAL @ NYK	1610612752	W	106	1322.0	1097.0
21900163	2019-11-14	1610612741	L	115	CHI @ MIL	1610612749	W	124	1198.0	1547.0
21900164	2019-11-14	1610612740	W	132	NOP vs. LAC	1610612746	L	127	1233.0	1430.0
21900165	2019-11-14	1610612737	L	112	ATL @ PHX	1610612756	W	128	1252.0	1257.0
21900166	2019-11-14	1610612743	W	101	DEN vs. BKN	1610612751	L	93	1439.0	1339.0
21900167	2019-11-15	1610612765	L	106	DET @ CHA	1610612766	W	109	1288.0	1281.0
21900168	2019-11-15	1610612753	W	111	ORL vs. SAS	1610612759	L	109	1381.0	1371.0
21900169	2019-11-15	1610612745	W	111	HOU vs. IND	1610612754	L	102	1510.0	1403.0
21900170	2019-11-15	1610612762	L	106	UTA @ MEM	1610612763	W	107	1485.0	1250.0
21900171	2019-11-15	1610612750	L	116	MIN vs. WAS	1610612764	W	137	1347.0	1238.0
21900172	2019-11-15	1610612755	L	119	PHI @ OKC	1610612760	W	127	1416.0	1384.0
21900173	2019-11-15	1610612738	W	105	BOS @ GSW	1610612744	L	100	1488.0	1334.0
21900174	2019-11-15	1610612747	W	99	LAL vs. SAC	1610612758	L	97	1407.0	1300.0
21900175	2019-11-16	1610612741	L	111	CHI vs. BKN	1610612751	W	117	1196.0	1333.0
21900176	2019-11-16	1610612749	W	102	MIL @ IND	1610612754	L	83	1549.0	1397.0
